Wall time,Step,Value
1474309951.474512,18600,0.055234815925359726
1474310121.265307,18700,0.055049505084753036
1474310291.07823,18800,0.055624112486839294
1474310460.829045,18900,0.055290937423706055
1474310630.626658,19000,0.055566564202308655
1474311000.031869,19100,0.05417914316058159
1474311169.752102,19200,0.05498487502336502
1474311339.416475,19300,0.055303651839494705
1474311509.144199,19400,0.05505044385790825
1474311678.960368,19500,0.05542944744229317
1474311849.378178,19600,0.05466051027178764
1474312020.560238,19700,0.055924635380506516
1474312190.611531,19800,0.05541422963142395
1474312360.413319,19900,0.05454743281006813
1474312530.196429,20000,0.05424463376402855
1474312900.227085,20100,0.053911369293928146
1474313069.783687,20200,0.055378738790750504
1474313239.422126,20300,0.05574585497379303
1474313409.177457,20400,0.05425000190734863
1474313578.833647,20500,0.05411076918244362
1474313748.422363,20600,0.05528450384736061
1474313918.044032,20700,0.053763777017593384
1474314087.833746,20800,0.053296882659196854
1474314258.034059,20900,0.0539226196706295
1474314429.410135,21000,0.05376274883747101
1474314799.145891,21100,0.054404810070991516
1474314968.880069,21200,0.05431931093335152
1474315138.659368,21300,0.05424089357256889
1474315308.33836,21400,0.05399790778756142
1474315477.963024,21500,0.05376564338803291
1474315647.644622,21600,0.05391737073659897
1474315817.226726,21700,0.05385672301054001
1474315986.755692,21800,0.053605880588293076
1474316156.341853,21900,0.05412748083472252
1474316326.08629,22000,0.055088110268116
1474316695.405218,22100,0.05388462543487549
1474316866.464876,22200,0.05258345231413841
1474317037.234851,22300,0.05422671511769295
1474317207.153171,22400,0.05349341034889221
1474317376.889843,22500,0.05437229201197624
1474317546.588052,22600,0.053472455590963364
1474317716.2195,22700,0.05366109684109688
1474317885.957812,22800,0.05355662852525711
1474318055.681485,22900,0.053201694041490555
1474318225.508286,23000,0.052405182272195816
1474318595.157132,23100,0.05355078727006912
1474318764.906556,23200,0.05402148887515068
1474318934.605971,23300,0.053219497203826904
1474319104.36508,23400,0.05402877554297447
1474319275.027884,23500,0.05441952124238014
1474319445.892048,23600,0.05398296192288399
1474319616.052594,23700,0.05221007764339447
1474319785.788358,23800,0.05265839770436287
1474319955.601655,23900,0.05393948405981064
1474320125.235949,24000,0.05318198353052139
1474320494.589286,24100,0.05310312658548355
1474320664.344757,24200,0.052903302013874054
1474320834.105381,24300,0.05388234555721283
1474321003.751265,24400,0.05307270213961601
1474321173.404051,24500,0.05273383483290672
1474321343.227372,24600,0.052605245262384415
1474321512.976865,24700,0.05169273167848587
1474321683.07677,24800,0.053042490035295486
1474321854.215259,24900,0.053524199873209
1474322024.564397,25000,0.0527137853205204
1474322394.059261,25100,0.05203617364168167
1474322563.792369,25200,0.051800332963466644
1474322733.551535,25300,0.05335485562682152
1474322903.163978,25400,0.052968189120292664
1474323072.728183,25500,0.0534038245677948
1474323242.480678,25600,0.05284824222326279
1474323412.125513,25700,0.05298324674367905
1474323581.807238,25800,0.053513120859861374
1474323751.495884,25900,0.05282474309206009
1474323921.132413,26000,0.05269571766257286
1474324291.538066,26100,0.05292762070894241
1474324461.961659,26200,0.05186260864138603
1474324631.853842,26300,0.052721716463565826
1474324801.490937,26400,0.053468476980924606
1474324971.239697,26500,0.052513785660266876
1474325141.046335,26600,0.05335360765457153
1474325310.79274,26700,0.053188323974609375
1474325480.55671,26800,0.0532493069767952
1474325650.260315,26900,0.05370102450251579
1474325819.925978,27000,0.052384354174137115
1474326189.04307,27100,0.051868561655282974
1474326358.711379,27200,0.05267925187945366
1474326528.500001,27300,0.05193563923239708
1474326699.208163,27400,0.051346879452466965
1474326869.875709,27500,0.0529325045645237
1474327040.193105,27600,0.05123342201113701
1474327209.896035,27700,0.0520000159740448
1474327379.512841,27800,0.05206095427274704
1474327549.276171,27900,0.05196993052959442
1474327718.975868,28000,0.052768006920814514
1474328088.052807,28100,0.05175139382481575
1474328257.72066,28200,0.05166603624820709
1474328427.461245,28300,0.051128827035427094
1474328597.260885,28400,0.05287317559123039
1474328766.992085,28500,0.05150311067700386
1474328936.836736,28600,0.05111411586403847
1474329107.315766,28700,0.052648354321718216
1474329278.379894,28800,0.05159023404121399
1474329448.683981,28900,0.05132441967725754
1474329618.558712,29000,0.05122965946793556
1474329987.508383,29100,0.05123141407966614
1474330157.145967,29200,0.05149879679083824
1474330326.697483,29300,0.052736420184373856
1474330496.467074,29400,0.052221640944480896
1474330666.120342,29500,0.053371381014585495
1474330835.901229,29600,0.053005561232566833
1474331005.734476,29700,0.05167466402053833
1474331175.433564,29800,0.052923187613487244
1474331345.073142,29900,0.05112496390938759
1474331514.680506,30000,0.05231321230530739
1474331885.443646,30100,0.05111460015177727
1474332055.649189,30200,0.05186472460627556
1474332225.375027,30300,0.05125676840543747
1474332394.982162,30400,0.05167444422841072
1474332564.755446,30500,0.051464345306158066
1474332734.394751,30600,0.05208219215273857
1474332904.133647,30700,0.05184829607605934
1474333073.824843,30800,0.05156166851520538
1474333243.45522,30900,0.051392052322626114
1474333413.240158,31000,0.0515892431139946
1474333782.454612,31100,0.05109928175806999
1474333951.987181,31200,0.051465004682540894
1474334122.646181,31300,0.051379237323999405
1474334293.096495,31400,0.052005212754011154
1474334463.335918,31500,0.052396539598703384
1474334632.833369,31600,0.051754340529441833
1474334802.558928,31700,0.05120769888162613
1474334972.237208,31800,0.0509459488093853
1474335141.815041,31900,0.051881831139326096
1474335311.539495,32000,0.05175098776817322
1474335680.5506,32100,0.05113959684967995
1474335850.360704,32200,0.05118921399116516
1474336020.149678,32300,0.05160515382885933
1474336189.885089,32400,0.05088018998503685
1474336359.534185,32500,0.05143950134515762
1474336529.890915,32600,0.052029140293598175
1474336700.92265,32700,0.05275047942996025
1474336871.160601,32800,0.05112340673804283
1474337041.055589,32900,0.051924657076597214
1474337210.706819,33000,0.0520593598484993
1474337579.881601,33100,0.05156954750418663
1474337749.476117,33200,0.05080355331301689
1474337919.261513,33300,0.05055690556764603
1474338088.95248,33400,0.05124121904373169
1474338259.660521,33500,0.05030273646116257
1474338429.477857,33600,0.05079459398984909
1474338599.162023,33700,0.051229510456323624
1474338768.752579,33800,0.05062038451433182
